TransactionID,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,TransactionDT,TransactionAmt,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,isFraud
1415,W,4030,174,150,visa,226,debit,126,87,<3027949.25,<125.0,2,3,0,0,1,5,0,0,3,0,3,0,26,2,1
1469,W,15066,170,150,mastercard,102,credit,269,87,>=3027949.25,<125.0,1,2,0,0,0,2,0,0,2,0,2,0,0,0,1
1562,C,5812,408,185,mastercard,224,debit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1
1579,W,14509,532,150,mastercard,NotFound,debit,251,87,>=3027949.25,<125.0,1,1,0,0,0,0,0,0,2,0,2,0,2,1,1
1610,C,5535,555,185,visa,226,debit,NotFound,NotFound,>=3027949.25,>=125.0,2,2,0,1,0,1,1,1,0,1,1,1,0,0,1
1622,R,2616,327,150,discover,102,credit,337,87,>=3027949.25,<125.0,1,1,0,2,0,2,0,3,0,2,1,0,0,0,1
1658,C,2256,545,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,2,3,0,1,0,1,1,1,0,1,1,1,1,1,1
1682,W,4141,404,150,mastercard,102,credit,315,87,<3027949.25,>=125.0,2,2,0,0,0,2,0,0,3,0,1,0,2,1,1
1693,W,5853,225,150,mastercard,117,debit,181,87,>=3027949.25,<125.0,3,3,0,0,0,1,0,0,1,0,1,0,43,3,1
1766,W,7585,553,150,visa,226,credit,441,87,<3027949.25,<125.0,1,1,0,0,0,2,0,0,2,0,1,0,2,1,1
1768,W,14649,548,150,visa,226,debit,476,87,>=3027949.25,<125.0,2,2,0,0,0,3,0,0,1,0,2,0,1,1,1
1794,W,3821,111,150,mastercard,219,credit,126,87,>=3027949.25,>=125.0,1,1,0,0,0,3,0,0,0,0,1,1,3,1,1
1814,C,9917,142,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,12,6,0,1,0,1,1,8,0,2,3,3,2,2,1
1927,C,9917,142,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,36,31,0,5,0,5,5,14,0,8,26,26,4,2,1
1987,W,12695,490,150,visa,226,debit,126,87,<3027949.25,<125.0,8,10,0,0,1,3,0,0,3,0,5,0,51,7,1
2001,C,16136,204,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,39,62,0,5,0,5,5,15,0,11,5,5,2,2,1
2009,C,9633,130,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,9,11,0,3,0,3,3,3,0,3,4,4,1,1,1
2041,C,12616,490,150,visa,NotFound,credit,NotFound,NotFound,<3027949.25,<125.0,4,35,0,18,0,18,18,11,0,8,13,13,0,0,1
2088,C,3327,545,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,4,4,0,1,0,1,1,2,0,1,1,1,0,0,1
2116,W,7861,494,150,visa,226,credit,225,87,>=3027949.25,<125.0,1,2,0,0,0,2,0,0,1,0,1,0,2,1,1
2153,H,10023,111,150,visa,226,debit,204,87,<3027949.25,>=125.0,3,3,0,1,0,1,0,1,0,1,1,0,0,0,1
2164,W,5287,553,150,visa,226,debit,512,87,>=3027949.25,<125.0,1,4,0,0,0,6,0,0,1,0,2,1,0,0,1
2223,C,10876,104,185,visa,137,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
2256,C,2256,545,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,6,9,0,2,0,2,2,3,0,2,3,3,2,1,1
2286,W,16034,481,150,mastercard,102,credit,325,87,>=3027949.25,<125.0,14,12,0,0,1,5,0,0,6,0,6,0,65,11,1
2310,W,6457,321,150,visa,195,debit,325,87,>=3027949.25,<125.0,2,5,0,0,0,1,0,0,1,0,2,1,38,2,1
2355,C,3154,408,185,mastercard,224,debit,NotFound,NotFound,>=3027949.25,<125.0,132,125,0,36,0,36,36,42,0,49,47,47,10,10,1
2373,W,4347,111,150,visa,226,debit,191,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1
2430,W,10682,514,150,mastercard,224,debit,299,87,>=3027949.25,>=125.0,1,3,0,0,1,2,0,0,1,0,3,0,8,1,1
2464,W,2884,490,150,visa,226,debit,181,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1
2587,C,9633,296,185,visa,138,debit,NotFound,NotFound,<3027949.25,<125.0,1,4,0,1,0,1,1,1,0,1,2,2,0,0,1
2602,C,3154,408,185,mastercard,224,debit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1
2612,W,10616,583,150,visa,226,credit,441,87,>=3027949.25,>=125.0,2,2,0,0,0,2,0,0,2,0,1,0,2,1,1
2745,W,4778,111,150,visa,144,credit,204,87,>=3027949.25,<125.0,1,1,0,0,0,2,0,0,1,0,1,0,1,1,1
2762,H,1407,128,150,visa,226,debit,264,87,>=3027949.25,<125.0,2,2,0,1,0,1,0,2,0,1,2,0,0,0,1
2768,R,18366,111,150,visa,226,debit,204,87,<3027949.25,>=125.0,2,2,0,2,0,2,0,2,0,2,2,0,1,1,1
2773,C,15885,545,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1
2789,W,11233,321,150,visa,195,debit,325,87,>=3027949.25,<125.0,1,1,0,0,0,4,0,0,1,0,1,0,17,1,1
2825,C,11201,103,185,visa,226,debit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1
2830,H,16210,555,150,visa,226,debit,324,87,>=3027949.25,<125.0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1
2860,W,6832,134,150,visa,226,credit,204,87,>=3027949.25,>=125.0,7,3,0,0,0,2,0,0,3,0,1,0,25,6,1
2885,H,8547,555,150,visa,226,debit,226,87,>=3027949.25,>=125.0,4,4,0,2,0,3,0,4,0,3,4,0,0,0,1
2908,H,1764,158,150,visa,226,debit,315,87,<3027949.25,>=125.0,4,6,0,4,0,4,0,5,0,5,4,0,3,2,1
2921,C,10636,500,185,mastercard,224,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1
2930,W,6053,122,150,mastercard,195,debit,143,87,>=3027949.25,>=125.0,2,2,0,0,0,1,0,0,1,0,1,0,1,1,1
2947,W,7508,321,150,visa,226,debit,177,87,>=3027949.25,<125.0,6,11,0,0,0,9,0,0,3,0,2,0,30,6,1
2988,W,15066,170,150,mastercard,102,credit,330,87,>=3027949.25,>=125.0,2,5,0,0,2,3,0,0,5,0,4,0,14,2,1
3070,W,7508,321,150,visa,226,debit,177,87,>=3027949.25,<125.0,6,12,0,0,0,10,0,0,6,0,2,0,30,6,1
3222,R,18268,583,150,visa,226,credit,472,87,>=3027949.25,>=125.0,11,10,0,2,0,1,0,7,0,7,9,0,0,0,1
3226,C,3867,296,185,visa,226,credit,NotFound,NotFound,<3027949.25,<125.0,6,9,0,2,0,2,2,5,0,2,4,4,1,1,1
3276,C,9917,142,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,281,343,0,59,0,59,64,103,0,60,122,122,13,8,1
3297,C,13832,375,185,mastercard,224,debit,NotFound,NotFound,>=3027949.25,<125.0,2,6,0,1,0,1,1,6,0,4,2,2,3,1,1
3331,C,13413,103,185,visa,137,credit,NotFound,NotFound,>=3027949.25,>=125.0,11,9,0,4,0,4,4,14,0,4,6,6,0,0,1
3359,W,17131,111,150,mastercard,224,debit,264,87,<3027949.25,>=125.0,2,1,0,0,0,2,0,0,1,0,1,0,3,1,1
3398,C,16346,324,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,4,6,0,1,0,1,1,1,0,1,2,2,1,1,1
3429,C,17284,459,185,visa,137,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3448,H,8406,264,150,visa,226,debit,441,87,>=3027949.25,<125.0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1
3464,C,2256,545,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1
3648,W,9350,111,150,visa,162,credit,512,87,<3027949.25,<125.0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1
3680,W,4663,490,150,visa,166,debit,264,87,>=3027949.25,>=125.0,2,2,0,0,0,1,0,0,2,0,1,0,2,2,1
3695,C,4461,375,185,mastercard,224,debit,NotFound,NotFound,<3027949.25,<125.0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1
3803,W,15066,170,150,mastercard,102,credit,126,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,0,6,1,1
3839,W,17188,321,150,visa,226,debit,122,87,<3027949.25,>=125.0,5,3,0,0,0,2,0,0,9,0,3,0,20,4,1
3861,W,12695,490,150,visa,226,debit,325,87,>=3027949.25,<125.0,1,3,0,0,0,2,0,0,3,0,2,0,2,1,1
3863,C,5812,408,185,mastercard,224,debit,NotFound,NotFound,>=3027949.25,<125.0,16,22,0,5,0,5,5,11,0,6,11,11,2,2,1
3915,W,2947,380,150,visa,226,debit,315,87,>=3027949.25,>=125.0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1
3924,C,4329,238,185,visa,102,credit,NotFound,NotFound,>=3027949.25,<125.0,5,7,0,5,0,5,5,4,0,4,5,5,1,1,1
4032,C,17562,555,185,mastercard,224,credit,NotFound,NotFound,>=3027949.25,<125.0,2,8,0,2,0,2,2,1,0,3,2,2,3,2,1
4047,W,16682,479,150,visa,226,credit,231,87,>=3027949.25,<125.0,1,2,0,0,0,1,0,0,1,0,1,1,2,1,1
4053,H,4806,490,150,visa,226,debit,315,87,<3027949.25,<125.0,20,24,0,13,0,11,0,16,0,18,11,0,6,5,1
4062,W,13526,529,150,visa,162,credit,512,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1
4091,C,1976,545,185,visa,102,credit,NotFound,NotFound,>=3027949.25,<125.0,6,7,0,3,0,3,3,5,0,3,4,4,1,1,1
4122,W,9500,321,150,visa,226,debit,330,87,>=3027949.25,<125.0,4,2,0,0,0,11,0,0,1,0,2,0,50,4,1
4215,W,10859,231,150,mastercard,117,debit,272,87,>=3027949.25,>=125.0,1,1,0,0,0,1,0,0,2,0,1,0,1,1,1
4252,W,2744,490,150,visa,195,debit,310,87,>=3027949.25,>=125.0,2,3,0,0,2,4,0,0,1,0,2,0,6,1,1
4279,C,13335,176,185,mastercard,102,credit,NotFound,NotFound,>=3027949.25,<125.0,304,594,0,83,0,83,83,120,0,109,131,131,17,12,1
4301,C,5583,103,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1
4329,R,6019,583,150,visa,226,credit,264,87,>=3027949.25,<125.0,22,22,0,10,0,10,0,14,0,11,13,0,1,1,1
4375,C,9633,296,185,visa,138,debit,NotFound,NotFound,<3027949.25,<125.0,11,18,0,9,0,9,9,13,0,10,18,18,6,4,1
4383,W,12577,268,150,visa,166,debit,337,87,<3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1
4435,W,10770,264,150,visa,226,credit,472,87,>=3027949.25,>=125.0,1,2,0,0,0,1,0,0,2,0,2,0,1,1,1
4443,H,7919,194,150,mastercard,166,debit,225,87,>=3027949.25,>=125.0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1
4456,C,9026,545,185,visa,137,credit,NotFound,NotFound,>=3027949.25,<125.0,40,56,0,29,0,29,29,35,0,28,27,27,7,7,1
4462,C,9917,142,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,0,1,0,1,0,1,1,2,0,1,1,1,0,0,1
4481,W,10057,225,150,mastercard,224,debit,269,87,>=3027949.25,<125.0,2,4,0,0,0,2,0,0,3,0,2,0,12,2,1
4530,W,13926,327,150,discover,142,credit,123,87,>=3027949.25,>=125.0,1,1,0,0,0,1,0,0,2,0,1,0,1,1,1
4553,W,10011,319,150,visa,226,debit,476,87,>=3027949.25,<125.0,3,4,0,0,0,3,0,0,5,0,4,1,7,2,1
4604,C,3901,176,185,mastercard,224,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1
4699,W,13623,585,150,visa,226,debit,498,87,>=3027949.25,<125.0,3,15,0,0,0,1,0,0,6,0,2,0,26,2,1
4727,C,5812,408,185,mastercard,224,debit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
4779,C,9633,296,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,17,19,0,2,0,2,2,2,0,3,2,2,2,2,1
4790,W,12695,490,150,visa,226,debit,325,87,<3027949.25,<125.0,1,2,0,0,0,2,0,0,2,0,1,0,15,1,1
4794,W,12163,299,150,visa,226,debit,204,87,>=3027949.25,<125.0,2,1,0,0,0,1,0,0,3,0,1,0,3,2,1
4797,W,4693,417,150,visa,195,debit,308,87,>=3027949.25,<125.0,1,2,0,0,0,1,0,0,1,0,2,0,4,1,1
4805,C,12184,440,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,79,72,0,11,0,11,11,11,0,15,17,17,8,6,1
4858,C,9642,103,185,visa,226,debit,NotFound,NotFound,>=3027949.25,<125.0,8,9,0,1,0,1,1,1,0,1,1,1,0,0,1
4863,W,12695,490,150,visa,226,debit,325,87,>=3027949.25,>=125.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
4872,C,15063,NotFound,150,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1
4948,H,4911,555,150,visa,226,debit,330,87,>=3027949.25,<125.0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1
4955,W,2616,327,150,discover,102,credit,330,87,>=3027949.25,>=125.0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1
4958,W,10616,583,150,visa,226,credit,472,87,>=3027949.25,>=125.0,3,2,0,0,0,2,0,0,2,0,2,1,9,2,1
4976,W,16927,310,150,mastercard,224,debit,203,87,>=3027949.25,>=125.0,5,2,0,0,0,1,0,0,2,0,1,0,53,3,1
4993,S,3698,555,150,visa,162,credit,330,87,<3027949.25,>=125.0,7,3,0,4,0,0,0,6,0,12,7,0,13,4,1
5018,C,9026,545,185,visa,137,credit,NotFound,NotFound,>=3027949.25,<125.0,2,2,0,1,0,1,1,1,0,1,1,1,0,0,1
5047,W,5691,417,150,visa,226,debit,231,87,<3027949.25,>=125.0,6,5,0,0,0,1,0,0,6,0,4,0,5,3,1
5055,H,9485,111,150,visa,226,debit,226,87,>=3027949.25,<125.0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1
5059,W,7585,553,150,visa,226,credit,272,87,>=3027949.25,>=125.0,2,1,0,0,0,2,0,0,2,0,2,0,3,1,1
5105,C,9917,142,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,1,4,0,2,0,2,2,4,0,3,4,4,3,1,1
5125,C,5812,408,185,mastercard,224,debit,NotFound,NotFound,>=3027949.25,<125.0,10,11,0,4,0,4,4,2,0,4,3,3,2,2,1
5163,C,8755,500,185,mastercard,224,credit,NotFound,NotFound,>=3027949.25,<125.0,1,2,0,1,0,1,1,1,0,1,2,2,1,1,1
5208,W,17480,528,150,visa,226,credit,191,87,>=3027949.25,>=125.0,1,3,0,0,0,5,0,0,1,0,2,0,4,1,1
5224,W,10057,225,150,mastercard,224,debit,204,87,>=3027949.25,<125.0,2,2,0,0,0,1,0,0,3,0,2,0,5,2,1
5263,W,10616,583,150,visa,226,credit,204,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1
5274,C,3867,296,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1
5280,W,7508,321,150,visa,226,debit,177,87,>=3027949.25,<125.0,6,12,0,0,0,10,0,0,6,0,2,0,31,6,1
5289,H,1764,158,150,visa,226,debit,315,87,<3027949.25,>=125.0,12,13,0,7,0,6,0,9,0,10,8,0,5,4,1
5344,W,15497,490,150,visa,226,debit,299,87,>=3027949.25,>=125.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
5370,W,11919,170,150,mastercard,224,debit,330,87,>=3027949.25,>=125.0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1
5390,C,10568,204,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1
5413,W,2601,336,150,visa,226,credit,441,87,>=3027949.25,<125.0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1
5425,W,16132,111,150,visa,226,debit,299,87,<3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,0,4,1,1
5461,W,11839,490,150,visa,226,debit,420,87,>=3027949.25,>=125.0,2,2,0,0,0,2,0,0,1,0,1,0,30,1,1
5468,W,15063,NotFound,150,visa,226,credit,324,87,>=3027949.25,>=125.0,1,1,0,0,1,2,0,0,1,0,2,0,5,1,1
5505,C,15885,545,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
5547,C,9917,142,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,6,2,0,1,0,1,1,2,0,2,2,2,1,1,1
5573,C,15066,170,150,mastercard,102,credit,NotFound,NotFound,>=3027949.25,<125.0,5,7,0,1,0,1,1,2,0,2,1,1,0,0,1
5581,C,12823,407,185,visa,137,credit,NotFound,NotFound,<3027949.25,<125.0,2,2,0,1,0,1,1,1,0,1,1,1,0,0,1
5597,C,15063,NotFound,150,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
5617,W,5691,417,150,visa,226,debit,231,87,>=3027949.25,>=125.0,6,5,0,0,0,3,0,0,8,0,4,0,8,3,1
5627,W,1675,174,150,visa,226,debit,204,87,>=3027949.25,<125.0,1,2,0,0,0,1,0,0,1,0,1,0,2,1,1
5633,W,5287,553,150,visa,226,debit,512,87,>=3027949.25,<125.0,1,5,0,0,0,6,0,0,1,0,2,1,0,0,1
5686,W,10925,543,150,mastercard,224,debit,315,87,>=3027949.25,>=125.0,3,2,0,0,0,2,0,0,1,0,2,1,21,3,1
5691,W,15066,170,150,mastercard,102,credit,126,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,0,4,1,1
5725,W,2616,327,150,discover,102,credit,343,87,>=3027949.25,>=125.0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1
5765,C,15146,311,185,visa,102,credit,284,60,>=3027949.25,>=125.0,20,30,0,5,0,5,5,11,0,9,13,13,2,2,1
5801,W,8431,269,150,mastercard,224,debit,433,87,<3027949.25,>=125.0,1,1,0,0,0,1,0,0,2,0,2,0,0,0,1
5875,C,9300,103,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,2,2,0,1,0,1,1,1,0,1,1,1,0,0,1
5880,C,9026,545,185,visa,137,credit,NotFound,NotFound,>=3027949.25,<125.0,5,122,0,4,0,4,4,9,0,6,66,66,4,1,1
5923,C,13832,375,185,mastercard,224,debit,NotFound,NotFound,>=3027949.25,<125.0,9,22,0,7,0,7,7,23,0,11,1,1,10,6,1
5927,C,8755,500,185,mastercard,224,credit,NotFound,NotFound,<3027949.25,<125.0,1501,1993,0,866,0,866,867,1296,0,1453,1176,1176,1277,565,1
6010,C,9633,130,185,visa,138,debit,NotFound,NotFound,<3027949.25,<125.0,9,4,0,2,0,2,2,5,0,3,6,6,0,0,1
6012,C,15885,545,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,1,3,0,1,0,1,1,1,0,1,2,2,1,1,1
6032,W,17188,321,150,visa,226,debit,299,87,>=3027949.25,<125.0,1,1,0,0,1,1,0,0,1,0,1,0,9,1,1
6080,C,9917,142,185,visa,138,debit,NotFound,NotFound,<3027949.25,<125.0,153,202,0,47,0,47,47,105,0,45,114,114,14,12,1
6116,W,5033,269,150,mastercard,224,debit,476,87,>=3027949.25,<125.0,1,2,0,0,0,1,0,0,2,0,3,1,1,1,1
6122,W,13623,585,150,visa,226,debit,498,87,>=3027949.25,<125.0,3,15,0,0,0,1,0,0,8,0,2,1,30,2,1
6157,H,5105,555,119,visa,226,credit,296,65,<3027949.25,>=125.0,2,1,0,1,0,1,0,2,0,2,1,0,0,0,1
6198,R,6053,122,150,mastercard,195,debit,220,87,>=3027949.25,>=125.0,7,7,0,2,0,7,0,2,0,2,7,0,0,0,1
6202,C,9642,103,185,visa,226,debit,NotFound,NotFound,>=3027949.25,<125.0,16,20,0,3,0,3,3,3,0,2,1,1,0,0,1
6214,C,9917,142,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,1,7,0,2,0,2,2,2,0,3,3,3,3,1,1
6301,W,8528,215,150,visa,226,debit,272,87,>=3027949.25,<125.0,6,5,0,0,0,4,0,0,3,0,4,0,3,2,1
6311,W,7585,553,150,visa,226,credit,441,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1
6313,S,9002,453,150,visa,226,debit,272,87,<3027949.25,<125.0,2,2,0,1,0,0,0,3,0,1,1,0,42,2,1
6315,C,16346,324,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,33,38,0,21,0,21,21,6,0,3,6,6,2,2,1
